Marca temporal,¿Considera relevante la inclusión de un método de autentificación de usuario al acceder a SERA?,¿Qué funciones considera relevante en la gestión de usuarios de tipo estudiante?,¿Qué funciones considera relevante en la gestión de usuarios de tipo docente?,¿Qué funciones considera relevante en la gestión de usuarios de tipo psicopedagogo?,¿Considera adecuada la generación de reportes referentes al rendimiento del estudiante?,¿Considera adecuada la generación de resportes referentes al rendimiento del docente?,¿Qué funcionalidades debería incluir el sistema SERA?,¿Cuánto tiempo considera pertinente para la actualización del sistema? Especifique en minutos u horas,¿En qué sistemas operativos debería poder ejecutarse SERA?,¿En qué navegadores debería poder ejecutarse SERA?,¿En qué dispositivos debería poder ejecutarse el sistema SERA?,¿Considera relevante el aspecto seguridad en el software SERA?,¿Con qué frecuencia deberían generarse los reportes?,¿Qué otros aspectos considera importantes en una aplicación o programa?
28/05/2023 20:27:04,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar sugerencias destinadas al docente en base a su rendimiento",5 min,"Windows, iOS","Google Chrome, Microsoft Edge","Computadora, Tablet, Celular",Sí,Semanalmente,Que no ocupe mucho espacio de almacenamiento
28/05/2023 20:27:36,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente",Mostrar datos del docente registrado anteriormente,"Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente",Tal vez,Sí,"Gestionar información del docente, Enviar correos automáticos con la información de reportes",Una hora aprox,"Windows, Android",Opera,"Computadora, Celular",Sí,Semanalmente,"Consideren el inicio a la aplicación en un dispositivo a la vez, como la hace el SUM "
28/05/2023 20:28:05,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",100 horas ,"Windows, macOS, Android, iOS","Google Chrome, Mozilla Firefox, Opera","Computadora, Tablet, Celular",Sí,Semanalmente,Interfaz de fácil manejo y entendible para el usuario
28/05/2023 20:29:03,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Tal vez,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones",1 hora,"Windows, Linux","Google Chrome, Microsoft Edge",Computadora,Sí,Semanalmente,Que no tenga bugs
28/05/2023 20:31:38,Sí,"Modificar datos de un estudiante registrado anteriormente, Mostrar datos del estudiante registrado anteriormente","Modificar datos de un docente registrado anteriormente, Mostrar datos del docente registrado anteriormente",Modificar datos de un psicopedagogo registrado anteriormente,Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo",1 minuto,Windows,"Google Chrome, Microsoft Edge",Computadora,Sí,Diariamente,Adaptacion a diversos sistemas operativos
28/05/2023 20:32:01,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",10,"Windows, Android","Google Chrome, Opera","Computadora, Celular",Sí,Semanalmente,Su interfaz
28/05/2023 20:32:22,Sí,Modificar datos de un estudiante registrado anteriormente,Mostrar datos del docente registrado anteriormente,Mostrar datos del psicopedagogo registrado anteriormente,Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",5 min.,"Windows, macOS, Android, iOS",Google Chrome,Celular,Sí,Semanalmente,Actualizaciones constantes 
28/05/2023 20:32:24,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",1 hora,"Windows, Android","Google Chrome, Microsoft Edge, Brave","Computadora, Celular",Sí,Mensualmente,Interfaz llamativa 
28/05/2023 20:32:26,Sí,"Agregar nuevo estudiante, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Generar reportes sobre el rendimiento del estudiante",10 min,"Windows, macOS, Android, iOS",Google Chrome,"Computadora, Tablet, Celular",Sí,Mensualmente,Que pueda haber interacción entre usuarios
28/05/2023 20:32:45,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",10 minutos ,"Windows, macOS, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari","Computadora, Tablet, Celular",Sí,En el momento en que se solicite,Considero que con los propuestos está completa 
28/05/2023 20:32:50,Sí,"Agregar nuevo estudiante, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Mostrar datos del psicopedagogo registrado anteriormente",Sí,No,"Gestionar información del estudiante, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",4 horas,"Windows, macOS","Google Chrome, Microsoft Edge, Opera",Computadora,Sí,Mensualmente,Interfaz fácil y amigable. Menos funciones. Restricciones de usuario
28/05/2023 20:33:02,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema",Sí,Sí,"Gestionar información del estudiante, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar sugerencias destinadas al docente en base a su rendimiento",6 horas,"Windows, Android","Google Chrome, Opera","Computadora, Celular",Sí,Semanalmente,"Se puede tomar en cuenta que el usuario puede tener un chat de consulta , en el cual puede establecer sus dudas directamente al docente
"
28/05/2023 20:33:59,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",5 minutos,"Windows, macOS, Linux, Android, iOS","Google Chrome, Microsoft Edge, Opera","Computadora, Tablet, Celular",Sí,Semanalmente,Agregar recordatorios de actividades del estudiante 
28/05/2023 20:34:17,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema",Sí,Sí,"Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento","30 minutos, dependería de la cantidad de alumnos y evaluaciones a ingresar.","Windows, macOS, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari, Opera","Computadora, Tablet",Sí,Semanalmente,"El acceso por parte de los tutores, para supervizar el rendimiento de los estudiantes"
28/05/2023 20:34:58,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante","6 horas, en la noche (madrugada)preferentemente ","Windows, macOS, Linux, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Opera","Computadora, Tablet, Celular",Sí,Mensualmente,"la optimizacion, que no se demore mucho en cargar la pagina o aplicación."
28/05/2023 20:37:33,Sí,Modificar datos de un estudiante registrado anteriormente,"Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Mostrar datos del docente registrado anteriormente",Agregar nuevo psicopedagogo,Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo",5 minutos ,"Windows, Android, iOS",Microsoft Edge,"Computadora, Celular",Sí,Semanalmente,la gestión 
28/05/2023 20:37:52,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",cada día,"Windows, macOS, Linux, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari, Opera","Computadora, Tablet, Celular",Sí,En el momento en que se solicite,estar anexado a una base de datos que mantenga un respaldo de los datos ingresados 
28/05/2023 20:42:40,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible",24 horas,"Windows, macOS, Linux, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari, Opera","Computadora, Tablet, Celular",Sí,Diariamente,que haya una estabilidad en la conexion
28/05/2023 20:42:51,Tal vez,"Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente",Mostrar datos del psicopedagogo registrado anteriormente,Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Enviar correos automáticos con la información de reportes, Generar reportes sobre el rendimiento del estudiante",30 minutos ,Android,Google Chrome,"Computadora, Tablet, Celular",Sí,En el momento en que se solicite,Corrección de datos 
28/05/2023 20:43:22,Sí,"Agregar nuevo estudiante, Mostrar datos del estudiante registrado anteriormente",Agregar nuevo docente,"Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",Cada hora,"Windows, macOS, Linux, Android","Google Chrome, Opera","Computadora, Tablet, Celular",Sí,Semanalmente,Que tenga seguridad
28/05/2023 20:43:26,Sí,"Modificar datos de un estudiante registrado anteriormente, Mostrar datos del estudiante registrado anteriormente",Agregar nuevo docente,"Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",Cada hora,"Windows, macOS, Linux, Android","Google Chrome, Opera","Computadora, Tablet, Celular",Sí,Semanalmente,Una interfaz bonita
28/05/2023 20:44:28,Tal vez,Eliminar estudiante del sistema,Agregar nuevo docente,"Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema",Sí,Sí,"Gestionar información del docente, Registrar notas del estudiante por asignatura, Promediar notas por grado, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible",20 minutos,"Windows, macOS, Linux, Android, iOS","Google Chrome, Brave","Computadora, Tablet, Celular",Sí,Diariamente,la Interfaz uwu
28/05/2023 20:48:38,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Mostrar historial de calificaciones, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",15 minutos ,"Windows, macOS, Linux, Android, iOS","Google Chrome, Mozilla Firefox, Opera","Computadora, Tablet, Celular",Sí,Semanalmente,Que maneje una sencilla terminología 
28/05/2023 20:51:22,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",Cada 24 horas,"Windows, macOS, Linux, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari, Opera","Computadora, Tablet, Celular",Sí,Semanalmente,"Optimización, rendimiento dependiendo el tipo de dispositivo."
28/05/2023 20:58:13,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",30 min,"Windows, Linux, Android, iOS","Google Chrome, Mozilla Firefox, Safari","Computadora, Tablet, Celular",Sí,Semanalmente,Facilidad de uso para cualquier tipo de usuario
28/05/2023 21:00:33,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",30 minutos,"Windows, macOS, Linux, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari, Opera","Computadora, Celular",Sí,Mensualmente,El reporte de rendimiento del estudiante puede ser enviado al correo de este.
28/05/2023 21:08:08,Sí,Mostrar datos del estudiante registrado anteriormente,Mostrar datos del docente registrado anteriormente,Mostrar datos del psicopedagogo registrado anteriormente,Sí,Sí,Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible,1 minuto,Windows,Google Chrome,"Computadora, Celular",Sí,Mensualmente,Los niveles de seguridad 
28/05/2023 21:08:24,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",1 minuto ,"Windows, macOS, Linux, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari","Computadora, Tablet, Celular",Sí,Mensualmente,.
28/05/2023 21:08:55,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",5 minutos ,"Windows, macOS, Linux, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari, Opera","Computadora, Tablet, Celular",Sí,Semanalmente,Actualizaciones constantes 
28/05/2023 21:13:40,Tal vez,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente","Agregar nuevo docente, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Tal vez,"Gestionar información del estudiante, Gestionar información del docente, Promediar notas por grado, Mostrar historial de calificaciones, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante",cada 12 horas,Windows,Google Chrome,"Computadora, Celular",Sí,Semanalmente,La velocidad del procesamiento de información.
28/05/2023 21:16:04,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente",Tal vez,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Promediar notas por asignatura, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Generar reportes sobre el rendimiento del estudiante",20 minutos,"Windows, Android, iOS","Google Chrome, Mozilla Firefox, Safari, Opera","Computadora, Tablet, Celular",Sí,Mensualmente,Que se pueda fácilmente acceder a todas sus opciones 
28/05/2023 21:16:43,Sí,Modificar datos de un estudiante registrado anteriormente,Mostrar datos del docente registrado anteriormente,Agregar nuevo psicopedagogo,Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes",30 minutos,"Windows, macOS, Android","Google Chrome, Mozilla Firefox","Computadora, Tablet, Celular",Sí,Diariamente,La rapides
28/05/2023 21:17:50,Sí,Modificar datos de un estudiante registrado anteriormente,Modificar datos de un docente registrado anteriormente,Eliminar psicopedagogo del sistema,Sí,Sí,Registrar notas del estudiante por asignatura,60 minutos ,Android,Google Chrome,Celular,Sí,Semanalmente,Sus contenidos 
28/05/2023 21:18:05,Sí,Agregar nuevo estudiante,Mostrar datos del docente registrado anteriormente,Agregar nuevo psicopedagogo,Sí,Sí,Gestionar información del docente,1 hora,iOS,Google Chrome,Tablet,Sí,Semanalmente,Windows 
