Marca temporal,¿Considera relevante la inclusión de un método de autentificación de usuario al acceder a SERA?,¿Qué funciones considera relevante en la gestión de usuarios de tipo estudiante?,¿Qué funciones considera relevante en la gestión de usuarios de tipo docente?,¿Qué funciones considera relevante en la gestión de usuarios de tipo psicopedagogo?,¿Considera adecuada la generación de reportes referentes al rendimiento del estudiante?,¿Considera adecuada la generación de resportes referentes al rendimiento del docente?,¿Qué funcionalidades debería incluir el sistema SERA?,¿Cuánto tiempo considera pertinente para la actualización del sistema? Especifique en minutos u horas,¿En qué sistemas operativos debería poder ejecutarse SERA?,¿En qué navegadores debería poder ejecutarse SERA?,¿En qué dispositivos debería poder ejecutarse el sistema SERA?,¿Considera relevante el aspecto seguridad en el software SERA?,¿Con qué frecuencia deberían generarse los reportes?,¿Qué otros aspectos considera importantes en una aplicación o programa?
28/05/2023 21:19:49,Sí,Mostrar datos del estudiante registrado anteriormente,Mostrar datos del docente registrado anteriormente,Mostrar datos del psicopedagogo registrado anteriormente,Sí,Sí,Elaborar gráfico historial académico,30 min,"Windows, Linux, Android, iOS","Google Chrome, Microsoft Edge","Computadora, Celular",Sí,Semanalmente,Que sean entendible para el usuario para que así no presente complicaciones al momento de ejecutar o visualizar los datos o información
28/05/2023 21:21:28,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",1 hora,"Windows, macOS, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari, Opera","Computadora, Tablet, Celular",Sí,Semanalmente,"Recordatorios y notificaciones de lo progresado, algo así como el progreso en Duolingo."
28/05/2023 21:22:24,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",24 horas,"Windows, macOS, Android, iOS",Brave,"Computadora, Tablet, Celular",Sí,Semanalmente,"El diseño, son muy llamativos en el ojo del usuario"
28/05/2023 21:22:41,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente",Sí,Sí,"Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Elaborar gráfico historial académico",20 minutos ,"Windows, Android, iOS","Google Chrome, Microsoft Edge","Computadora, Tablet, Celular",Sí,Semanalmente,Funcionamiento offline de la APP
28/05/2023 21:36:49,Tal vez,Agregar nuevo estudiante,Mostrar datos del docente registrado anteriormente,"Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",120 min.,Windows,"Google Chrome, Mozilla Firefox, Microsoft Edge, Safari, Opera","Computadora, Tablet, Celular",Sí,Semanalmente,No se por el momento
28/05/2023 21:39:27,Sí,Mostrar datos del estudiante registrado anteriormente,Modificar datos de un docente registrado anteriormente,"Agregar nuevo psicopedagogo, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Enviar correos automáticos con la información de reportes, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",30 minutos,"Windows, macOS, Linux, Android, iOS","Google Chrome, Mozilla Firefox","Computadora, Tablet, Celular",Sí,Diariamente,"Proporcionarle una buena experiencia al usuario, con una buena funcionalidad y rendimiento, que ofrezca una seguridad de con la información brindada y que reciba constantes mantenimientos y actualizaciones
"
28/05/2023 21:40:55,Sí,Modificar datos de un estudiante registrado anteriormente,Mostrar datos del docente registrado anteriormente,Mostrar datos del psicopedagogo registrado anteriormente,Sí,Sí,"Gestionar información del psicopedagogo, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible",Ninguna,Windows,Google Chrome,Celular,Sí,Mensualmente,Ninguna
28/05/2023 21:44:25,Sí,Modificar datos de un estudiante registrado anteriormente,Eliminar docente del sistema,Modificar datos de un psicopedagogo registrado anteriormente,Sí,Sí,Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible,1 hora,Windows,Google Chrome,Celular,Sí,Mensualmente,"La seguridad confidencialudad

"
28/05/2023 21:49:00,Sí,"Agregar nuevo estudiante, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Mostrar datos del docente registrado anteriormente",Agregar nuevo psicopedagogo,Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",30 minutos,"Windows, Android, iOS","Google Chrome, Microsoft Edge","Computadora, Tablet, Celular",Sí,Mensualmente,Fluidez y rapidez del programa
28/05/2023 21:50:58,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",3minutos,Windows,Google Chrome,Celular,Sí,Semanalmente,Creo que ya mencionaron los más importantes 
28/05/2023 22:06:31,Tal vez,Mostrar datos del estudiante registrado anteriormente,Mostrar datos del docente registrado anteriormente,Agregar nuevo psicopedagogo,Sí,Sí,"Registrar notas del estudiante por asignatura, Elaborar gráfico historial académico, Generar sugerencias destinadas al docente en base a su rendimiento",3min,"Windows, Android","Google Chrome, Microsoft Edge",Celular,Tal vez,En el momento en que se solicite,Que automáticamente se guarden algunos cambios q se realizan.
28/05/2023 22:19:17,Sí,Agregar nuevo estudiante,Agregar nuevo docente,Agregar nuevo psicopedagogo,Sí,Sí,"Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Mostrar historial de calificaciones",Cada minuto,"Windows, macOS, Android, iOS","Google Chrome, Safari","Computadora, Celular",Sí,Semanalmente,Promediar notas
28/05/2023 22:20:00,Sí,"Modificar datos de un estudiante registrado anteriormente, Mostrar datos del estudiante registrado anteriormente","Modificar datos de un docente registrado anteriormente, Mostrar datos del docente registrado anteriormente","Modificar datos de un psicopedagogo registrado anteriormente, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes",2 horas,Windows,"Microsoft Edge, Opera",Computadora,Sí,Diariamente,Que pueda ser sencillo instalarlo en los dispositivos.
28/05/2023 22:29:41,Tal vez,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Enviar correos automáticos con la información de reportes, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",30minutos,"Windows, Android","Google Chrome, Microsoft Edge","Computadora, Tablet, Celular",Sí,Semanalmente,Pasos a seguir correctamente 
28/05/2023 22:32:01,Sí,Mostrar datos del estudiante registrado anteriormente,Mostrar datos del docente registrado anteriormente,Modificar datos de un psicopedagogo registrado anteriormente,Tal vez,Tal vez,"Gestionar información del docente, Registrar notas del estudiante por asignatura, Generar sugerencias destinadas al docente en base a su rendimiento",1 minuto,"Windows, macOS, Android, iOS","Google Chrome, Safari","Computadora, Tablet, Celular",Sí,Semanalmente,Rendimiento en el sistema 
28/05/2023 22:35:06,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del docente",30 minutos,"Windows, Linux, Android, iOS","Google Chrome, Microsoft Edge, Opera","Computadora, Celular",Sí,En el momento en que se solicite,Actualizaciones periódicas que puedan corregir posibles errores
28/05/2023 22:44:47,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",10 minutos ,"Windows, Android, iOS","Google Chrome, Mozilla Firefox","Computadora, Tablet, Celular",Sí,Mensualmente,Otros
28/05/2023 22:47:26,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del psicopedagogo, Promediar notas por grado, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del estudiante",24 h,"Windows, Linux",Google Chrome,"Computadora, Tablet, Celular",Sí,Semanalmente,Adaptabilidad
28/05/2023 22:47:50,Sí,Agregar nuevo estudiante,Mostrar datos del docente registrado anteriormente,Mostrar datos del psicopedagogo registrado anteriormente,Sí,Sí,"Registrar notas del estudiante por asignatura, Mostrar historial de calificaciones, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del docente",1 minuto ,"Windows, Android",Google Chrome,"Computadora, Tablet, Celular",Sí,Mensualmente,Rapidez 
28/05/2023 23:27:41,No,Agregar nuevo estudiante,Agregar nuevo docente,Agregar nuevo psicopedagogo,Sí,No,"Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura",1,Windows,Google Chrome,Computadora,Sí,Semanalmente,.. 
28/05/2023 23:36:37,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",10 min,"Windows, macOS, Linux, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari, Opera","Computadora, Tablet, Celular",Sí,Diariamente,Facilidad de uso del usuario
28/05/2023 23:57:48,Tal vez,Agregar nuevo estudiante,Modificar datos de un docente registrado anteriormente,Mostrar datos del psicopedagogo registrado anteriormente,Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento", ,"Windows, macOS, Android, iOS","Google Chrome, Safari","Computadora, Tablet, Celular",Sí,Mensualmente, 
29/05/2023 0:00:11,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",5 minutos,"Windows, macOS, Linux, Android, iOS, HarmonyOS 2","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari, Opera, Duck Duck Go","Computadora, Tablet, Celular",Sí,Semanalmente,Generación de reportes interactivos por el usuario
29/05/2023 0:18:17,Sí,Modificar datos de un estudiante registrado anteriormente,"Modificar datos de un docente registrado anteriormente, Mostrar datos del docente registrado anteriormente","Modificar datos de un psicopedagogo registrado anteriormente, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Mostrar historial de calificaciones, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",48 horas,"Windows, macOS, Android, iOS","Google Chrome, Microsoft Edge, Opera","Computadora, Tablet, Celular",Sí,Mensualmente,"La interfaz grafica, el modo y la facilidad de acceso."
29/05/2023 0:53:40,Tal vez,Mostrar datos del estudiante registrado anteriormente,Mostrar datos del docente registrado anteriormente,Modificar datos de un psicopedagogo registrado anteriormente,Sí,Sí,"Gestionar información del estudiante, Promediar notas por asignatura, Mostrar historial de calificaciones, Enviar correos automáticos con la información de reportes, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",30 minutos,"Windows, macOS, Android, iOS","Google Chrome, Mozilla Firefox, Opera","Computadora, Tablet, Celular",Sí,Mensualmente,Optimización del sistema.
29/05/2023 1:08:34,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Elaborar gráfico historial académico, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",20 minutos,"Windows, macOS, Linux","Google Chrome, Mozilla Firefox, Opera","Computadora, Celular",Sí,Semanalmente,"Que la información sea clara y precisa acerca de los diferentes reportes que genere; a su vez que independientemente de la opción escogida en la frecuencia de reportes, estos también deberían generarse cuando se les solicite."
29/05/2023 1:12:03,Sí,"Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema",Agregar nuevo psicopedagogo,Tal vez,No,"Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por grado, Enviar correos automáticos con la información de reportes, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del docente",20 min,"Windows, Android",Google Chrome,"Computadora, Tablet",Sí,Diariamente,Ninguno
29/05/2023 2:53:39,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Elaborar gráfico historial académico, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",5 minutos,"Windows, Android","Google Chrome, Opera","Computadora, Celular",Sí,Semanalmente,"Que posea una interfaz interactiva, multifuncional, sistema de búsqueda versátil (evitar lo complejo)."
29/05/2023 8:10:21,Sí,"Mostrar datos del estudiante registrado anteriormente, ",Mostrar datos del docente registrado anteriormente,Mostrar datos del psicopedagogo registrado anteriormente,Sí,Sí,Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible,2 minutos ,Windows,Google Chrome,Computadora,Sí,Semanalmente,Tal vez
29/05/2023 8:20:11,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",5 min,"Windows, macOS, Android, iOS","Google Chrome, Microsoft Edge, Opera","Computadora, Tablet, Celular",Sí,Semanalmente,Facilidad de uso
29/05/2023 8:21:25,Sí,Mostrar datos del estudiante registrado anteriormente,Mostrar datos del docente registrado anteriormente,Mostrar datos del psicopedagogo registrado anteriormente,Sí,Sí,"Registrar notas del estudiante por asignatura, Mostrar historial de calificaciones, Elaborar gráfico historial académico",1 hora,"Windows, macOS, Android, iOS","Google Chrome, Microsoft Edge, Safari","Computadora, Celular",Sí,Semanalmente,La actualización que no demore mucho 
29/05/2023 8:42:06,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente, Mostrar los promedios de los estudiantes y el nivel de rendimiento de todos en los cursos ","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",3 horas ,"Windows, macOS, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Opera","Computadora, Tablet, Celular",Sí,Mensualmente,Que los análisis hechos para los estudiantes y profesores tambien vaya para el director. 
29/05/2023 10:11:22,No,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema","Agregar nuevo psicopedagogo, Eliminar psicopedagogo del sistema",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",15 min,"Windows, Android, iOS","Google Chrome, Mozilla Firefox, Safari, Opera","Computadora, Tablet, Celular",Sí,Mensualmente,Xd
29/05/2023 10:16:23,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Enviar correos automáticos con la información de reportes, Generar sugerencias ante problemas detectados",30 min,"Windows, Android",Google Chrome,"Computadora, Tablet, Celular",Sí,En el momento en que se solicite,"Eficiencia, accesible, entre otros"
29/05/2023 11:38:07,Sí,"Modificar datos de un estudiante registrado anteriormente, Mostrar datos del estudiante registrado anteriormente",Mostrar datos del docente registrado anteriormente,"Modificar datos de un psicopedagogo registrado anteriormente, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Mostrar historial de calificaciones, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",60 min,Windows,Google Chrome,Computadora,Sí,Semanalmente,La velocidad con la que se ejecuta 
29/05/2023 14:12:48,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente",Mostrar datos del psicopedagogo registrado anteriormente,Sí,Sí,"Gestionar información del docente, Generar reportes sobre el rendimiento del estudiante, Generar sugerencias destinadas al docente en base a su rendimiento",2 minutos,"Windows, Linux",Google Chrome,"Computadora, Tablet, Celular",Sí,Diariamente,La interfaz grafica 
29/05/2023 18:01:52,Tal vez,Mostrar datos del estudiante registrado anteriormente,Modificar datos de un docente registrado anteriormente,Modificar datos de un psicopedagogo registrado anteriormente,Sí,Sí,"Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Elaborar gráfico historial académico, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible",30 minutos,"Windows, Android",Google Chrome,"Computadora, Celular",Tal vez,Semanalmente,La facilidad de uso 
29/05/2023 22:45:08,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",Considero una actualización mensual,"Windows, macOS, Linux, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari, Opera","Computadora, Tablet, Celular",Sí,Mensualmente,"La eficiencia, debido que es necesaria para cumplir los objetivos que se plantea "
29/05/2023 23:16:10,Sí,Modificar datos de un estudiante registrado anteriormente,Modificar datos de un docente registrado anteriormente,Modificar datos de un psicopedagogo registrado anteriormente,Sí,Sí,"Gestionar información del estudiante, Gestionar información del psicopedagogo, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del estudiante, Generar sugerencias destinadas al docente en base a su rendimiento",25 horas ,Windows,"Google Chrome, Mozilla Firefox","Computadora, Tablet, Celular",Sí,Diariamente,Técnicos